,make, model, price, year, km_used, fuel_type, mileage, transmission, color, fuel_economy, no_of_owners, registered_at, condition, overall_condition, engine_condition, suspension_condition, brakes_condition, electrical_condition, ac_condition, exterior_condition, interior_condition, tyre_condition
0,2014 Audi Q3,35 TDI Premium,₹ 17 Lakh,Jun-14,"1,00,000 km",Diesel,15.77 kmpl,Automatic,White,Not Available,Second,Registered at,good condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
1,2015 Maruti Suzuki Swift,LDi,₹ 4.75 Lakh,Jun-15,"1,43,000 km",Diesel,22.9 kmpl,Manual,White,Not Available,First,Registered at,good condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
2,2021 BMW 3-Series,330i M Sport Edition,₹ 54.5 Lakh,Aug-21,"7,000 km",Petrol,16.05 kmpl,Automatic,Blue,Not Available,First,Registered at,"VJ CARS is an ISO 9001 : 2015 Certified Pre-Owned Cars Retail Showroom with a sprawling display of around 25000 sq. ft in the heart of Chennai City at Saidapet. 
We have built a reputation for offering luxury and mid-segment premium cars at a fair price with more than 70 to 100 Certified and Pre-Quality Checked Cars on display.
We have lined up an exceptional quality of our carefully curated and certified pre-owned cars ensuring all our Cars are Non-Accidental, Non-Flooded, RTO checked with careful screening of all original documents etc.
Periodical Service and Insurance History is evidently verified before procuring all our Cars as we strive to give our clients impeccably well-maintained cars.
We are pioneering to follow a Fixed Price Policy to relieve our clients from the hassle and stress of negotiating and in this process also assuring our clients a fair pricing for all your purchases to set a new trend in this traditionally tricky market and create a benchmark for the new generation of buyers.
We pride ourselves on offering our clientele a Transparent, Responsive, Competent and an Effortless Ownership Experience with clear Pre&Post Sale Documentation with Secured Bank Funding options at the lowest interest rates. 
Get in touch with us on 95007 95017 / 95008 95018 to Feel and Drive the Difference. Flagship Showroom at # 62, Jeenis Road, Saidapet Chennai - 15 (Opp. Saidapet Post Office). 

WARRANTY VALID SEP 2024                    SEP 2021 REG. 
",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
3,2018 Datsun Redigo,A,₹ 2.75 Lakh,Jun-18,"25,000 km",Petrol,22.7 kmpl,Manual,Silver,Not Available,First,Registered at,"Less Driven, Single Owner, Test Drive Available & Service History Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
4,2014 Hyundai i20,Sportz 1.2 BS-IV,₹ 5.45 Lakh,Jun-14,"30,000 km",Petrol,185 / 65 R14 ,Manual,Grey,Not Available,First,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
5,2014 Hyundai Elantra,1.8 S,₹ 6.75 Lakh,Jun-14,"30,000 km",Petrol,16.3 kmpl,Manual,Gold,Not Available,Second,Registered at,Get Seller Details,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
6,2017 Renault Kwid,1.0 RXT Opt [2016-2019],₹ 4.5 Lakh,Jun-17,"60,000 km",Petrol,23.01 kmpl,Manual,Grey,Not Available,First,Registered at,"Good Condition, Original Paint, Single Owner, Finance Available, Service History Available, Test Drive Available & Rear view Camera",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
7,2019 Toyota Innova,2.4 VX 7 STR [2016-2020],₹ 22 Lakh,Jun-19,"34,000 km",Diesel,15.1 kmpl,Manual,Bronze,Not Available,First,Registered at,Immaculate Condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
8,2017 Hyundai Elite i20,Sportz 1.2 (O),₹ 5.6 Lakh,Sep-17,"74,876 km",Petrol,18.6 kmpl,Manual,Red,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.7/5
9,2018 Tata Nexon,XZA Plus Petrol Dual Tone,₹ 8.95 Lakh,Apr-18,"23,690 km",Petrol,17.88 kmpl,Automatic,Orange,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
