,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,2020 Hyundai Santro,Magna [2018-2020],₹ 5.75 Lakh,Nov 2020,565 km,Petrol,FWD ,Manual,White,Not Available,First,Registered at,,4.9/5,4.7/5,5/5,5/5,5/5,5/5,5/5,5/5,4.6/5
1,2021 Mercedes-Benz E-Class,E 200 Exclusive [2019-2019],₹ 66.5 Lakh,Sep 2021,"3,500 km",Petrol,12.06 kmpl,Automatic,White,Not Available,UnRegistered Car,Registered at,Get Seller Details,4.9/5,4.7/5,5/5,5/5,5/5,5/5,5/5,5/5,4.6/5
2,2021 Audi A4,Technology 40 TFSI,₹ 54 Lakh,Feb 2021,"9,075 km",Petrol,188 bhp @ 4200 rpm ,Automatic,Blue,Not Available,UnRegistered Car,Registered at,Get Seller Details,4.9/5,4.7/5,5/5,5/5,5/5,5/5,5/5,5/5,4.6/5
3,2016 Audi Q7,45 TDI Technology Pack,₹ 58 Lakh,Aug 2016,"79,900 km",Diesel,14.75 kmpl,Automatic,Black,Not Available,First,Registered at,Get Seller Details,4.9/5,4.7/5,5/5,5/5,5/5,5/5,5/5,5/5,4.6/5
4,2008 Maruti Suzuki SX4,VXi,₹ 1.99 Lakh,Jun 2008,"1,39,000 km",Petrol,11.14 kmpl,Manual,Blue,Not Available,First,Registered at,"Very Good Condition, Non Accidental, Original Paint, Single Owner, Service History Available & Test Drive Available",4.9/5,4.7/5,5/5,5/5,5/5,5/5,5/5,5/5,4.6/5
5,2015 Honda City,VX,₹ 6.3 Lakh,May 2015,"25,911 km",Petrol,FWD ,Manual,Maroon,Not Available,Third,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.9/5,4.7/5,5/5,5/5,5/5,5/5,5/5,5/5,4.6/5
6,2018 Maruti Suzuki Swift,VXi [2014-2017],₹ 5.72 Lakh,Jun 2018,"35,000 km",Petrol,20.4 kmpl,Manual,Silver,Not Available,First,Registered at,"Immaculate Condition, Warranty Available, Test Drive Available, Service History Available, Roadside Assistance Available, Rear view Camera, Finance Available, Alloy Wheels, Single Owner, Original Paint, Non Accidental, Less Driven & Certified Car",4.9/5,4.7/5,5/5,5/5,5/5,5/5,5/5,5/5,4.6/5
7,2018 Maruti Suzuki Vitara Brezza,ZDi Plus Dual Tone AGS,₹ 9.75 Lakh,Aug 2018,"57,000 km",Diesel,24.29 kmpl,Automatic,Orange,Not Available,First,Registered at," VJ CARS is an ISO 9001 : 2015 Certified Pre-Owned Cars Retail Showroom with a sprawling display of around 25000 sq. ft in the heart of Chennai City at Saidapet. 
We have built a reputation for offering luxury and mid-segment premium cars at a fair price with more than 70 to 100Certified and Pre-Quality Checked Cars on display.
We have lined up an exceptional quality of our carefully curated and certified pre-owned cars ensuring all our Cars are Non-Accidental, Non-Flooded, RTO checked with careful screening of all original documents etc.
Periodical Service and Insurance History is evidently verified before procuring all our Cars as we strive to give our clients impeccably well-maintained cars.
We are pioneering to follow a Fixed Price Policy to relieve our clients from the hassle and stress of negotiating and in this process also assuring our clients fair pricing for all your purchases to set a new trend in this traditionally tricky market and create a benchmark for the new generation of buyers.
We pride ourselves on offering our clientele a Transparent, Responsive, Competent and an Effortless Ownership Experience with clear Pre& Post Sale Documentation with Secured Bank Funding options at the lowest interest rates.
Get in touch with us on 95007 95017 / 95008 95018 to Feel and Drive the Difference. Flagship Showroom at # 62, Jeenis Road, Saidapet Chennai - 15 (Opp. Saidapet Post Office).

WARRANTY VALID ONE YEAR AUG 2018 REG.",4.9/5,4.7/5,5/5,5/5,5/5,5/5,5/5,5/5,4.6/5
8,2019 Hyundai Creta,SX 1.6 AT Petrol,₹ 14.4 Lakh,Feb 2019,"29,018 km",Petrol,15.29 kmpl,Automatic,White,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.5/5
9,2019 Mercedes-Benz CLA,200 CDI Sport,₹ 33.5 Lakh,May 2019,"7,295 km",Diesel,FWD ,Automatic,Red,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.8/5
10,2018 Tata Tiago,Revotron XZ,₹ 5.1 Lakh,Jan 2018,"45,672 km",Petrol,23.84 kmpl,Manual,Brown,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.7/5
11,2016 Maruti Suzuki Baleno,Delta,₹ 5.75 Lakh,May 2016,"50,141 km",Petrol,21.01 kmpl,Manual,Silver,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.5/5
12,2016 Honda City,SV,₹ 6.5 Lakh,Jan 2016,"62,839 km",Petrol,FWD ,Manual,Brown,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.7/5
13,2019 Maruti Suzuki Celerio,VXi CNG [2019-2020],₹ 5.85 Lakh,Aug 2019,"43,560 km",CNG,31.79 km/kg,Manual,Grey,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.9/5
14,2015 Maruti Suzuki Celerio,VXi,₹ 3.94 Lakh,Jan 2015,"51,031 km",Petrol,23.1 kmpl,Manual,Grey,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.5/5
15,2018 Maruti Suzuki Celerio,VXi (O) [2017-2019],₹ 5.5 Lakh,Oct 2018,"69,303 km",Petrol,23.1 kmpl,Manual,Red,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.5/5,5/5,4.7/5,3.5/5
16,2014 Maruti Suzuki Ritz,Vdi BS-IV,₹ 4.5 Lakh,Jun 2014,"53,751 km",Diesel,23.2 kmpl,Manual,Silver,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.5/5
17,2019 Honda WR-V,VX MT Petrol,₹ 9.2 Lakh,May 2019,"22,153 km",Petrol,17.5 kmpl,Manual,Red,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.1/5
18,2018 Hyundai Creta,SX 1.6 AT CRDi,₹ 15.5 Lakh,May 2018,"48,982 km",Diesel,17.01 kmpl,Automatic,Blue,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.4/5
19,2019 Land Rover Discovery,2.0 HSE Petrol [2020-2021],₹ 49.75 Lakh,Mar 2019,"13,361 km",Petrol,12.05 kmpl,Automatic,Blue,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.7/5
20,2021 Maruti Suzuki Ciaz,Alpha Hybrid 1.5 AT [2018-2020],₹ 12.5 Lakh,Mar 2021,"14,758 km",Petrol,20.28 kmpl,Automatic,Grey,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4/5
21,2021 MG Hector,Sharp 1.5 DCT Petrol [2019-2020],₹ 18 Lakh,Feb 2021,"27,200 km",Petrol,13.96 kmpl,Automatic,White,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,5/5,5/5,5/5,4.2/5
22,2020 Maruti Suzuki Swift,ZXi AMT [2018-2019],₹ 8.25 Lakh,Nov 2020,"12,801 km",Petrol,22 kmpl,Automatic,White,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4/5
23,2018 Hyundai Creta,SX 1.6 AT Petrol,₹ 12.8 Lakh,Sep 2018,"49,973 km",Petrol,15.29 kmpl,Automatic,Red,Not Available,First,Registered at,,4.4/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,1.9/5
24,2013 Honda City,1.5 V AT,₹ 4.45 Lakh,Apr 2013,"77,727 km",Petrol,15.6 kmpl,Automatic,Brown,Not Available,Second,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.3/5,2.5/5
25,2015 Honda City,V,₹ 5.95 Lakh,Jun 2015,"47,537 km",Petrol,FWD ,Manual,Brown,Not Available,Second,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.2/5
26,2019 Maruti Suzuki Baleno,Delta 1.2,₹ 7.25 Lakh,Jan 2019,"14,350 km",Petrol,21.4 kmpl,Manual,Grey,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.9/5,4.5/5,5/5,4.9/5,3.1/5
27,2014 Hyundai Xcent,SX AT 1.2 (O),₹ 4.5 Lakh,Jun 2014,"58,102 km",Petrol,16.1 kmpl,Automatic,Blue,Not Available,First,Registered at,,4.4/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,1.7/5
28,2016 Maruti Suzuki Celerio,ZXi AMT ABS,₹ 4.75 Lakh,Jun 2016,"29,866 km",Petrol,23.1 kmpl,Automatic,White,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.9/5
29,2019 Kia Seltos,GTX 1.4,₹ 14.4 Lakh,Jul 2019,"20,302 km",Petrol,16.1 kmpl,Manual,White,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.2/5
30,2020 Maruti Suzuki Swift,VXi [2014-2017],₹ 6.25 Lakh,Sep 2020,"58,077 km",Petrol,20.4 kmpl,Manual,Silver,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.5/5
31,2018 Maruti Suzuki Baleno,Delta 1.2,₹ 6 Lakh,Oct 2018,"34,263 km",Petrol,21.4 kmpl,Manual,White,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.3/5
32,2022 Hyundai Elite i20,Sportz 1.2 [2016-2017],₹ 8.79 Lakh,Jan 2022,"4,127 km",Petrol,18.6 kmpl,Manual,White,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.9/5
33,2016 Honda Jazz,S MT [2015-2016],₹ 5.5 Lakh,Sep 2016,"33,293 km",Petrol,18.7 kmpl,Manual,White,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.4/5
34,2015 Honda Brio,VX MT,₹ 3.4 Lakh,May 2015,"20,686 km",Petrol,19.4 kmpl,Manual,Brown,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,5/5,5/5,4.7/5,4.2/5
35,2017 Tata Tigor,Revotron XT,₹ 5.36 Lakh,Nov 2017,"39,073 km",Petrol,20.3 kmpl,Manual,Brown,Not Available,First,Registered at,,4.7/5,4.6/5,5/5,5/5,3.6/5,4.8/5,5/5,4.7/5,4.4/5
36,2016 Renault Kwid,RXT [2015-2019],₹ 3.2 Lakh,Jan 2016,"51,800 km",Petrol,25.17 kmpl,Manual,Silver,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.1/5
37,2016 Maruti Suzuki Baleno,Delta 1.2,₹ 5.36 Lakh,Apr 2016,"32,441 km",Petrol,21.4 kmpl,Manual,Red,Not Available,Second,Registered at,,4.7/5,4.6/5,5/5,5/5,3.6/5,4.8/5,5/5,4.7/5,4.4/5
38,2021 Kia Sonet,HTK Plus 1.0 iMT [2020-2021],₹ 10.8 Lakh,Nov 2021,"13,973 km",Petrol,18.2 kmpl,Manual,Black,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,5/5,5/5,4.7/5,4.2/5
39,2022 Renault Duster,RXZ 1.5 Petrol MT [2020-2021],₹ 9.9 Lakh,Jan 2022,"7,638 km",Petrol,14.19 kmpl,Manual,Silver,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.2/5
40,2021 Maruti Suzuki DZire,VXi,₹ 7.75 Lakh,Mar 2021,"22,579 km",Petrol,23.2 kmpl,Manual,White,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.2/5
41,2020 Toyota Innova,2.4 G 8 STR [2016-2017],₹ 20.5 Lakh,Oct 2020,"81,073 km",Diesel,15.1 kmpl,Manual,White,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3/5
42,2014 Hyundai i20,Sportz 1.2,₹ 5.25 Lakh,Dec 2014,"63,727 km",Petrol,18.15 kmpl,Manual,Silver,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.8/5,5/5,4.7/5,3.7/5
43,2018 Tata Nexon,XM Diesel,₹ 7.25 Lakh,Oct 2018,"54,168 km",Diesel,23.97 kmpl,Manual,Red,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.6/5
44,2019 Volkswagen Ameo,Comfortline 1.0L (P),₹ 5.7 Lakh,Feb 2019,"12,473 km",Petrol,19.44 kmpl,Manual,Silver,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.8/5
45,2017 Hyundai Elite i20,Sportz 1.2 (O),₹ 5.6 Lakh,Sep 2017,"74,876 km",Petrol,18.6 kmpl,Manual,Red,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.7/5
46,2018 Tata Nexon,XZA Plus Petrol Dual Tone,₹ 8.95 Lakh,Apr 2018,"23,690 km",Petrol,17.88 kmpl,Automatic,Orange,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.9/5
47,2018 Honda City,V,₹ 8.75 Lakh,Mar 2018,"60,679 km",Petrol,FWD ,Manual,White,Not Available,First,Registered at,,4.4/5,4.5/5,5/5,5/5,3.6/5,2.5/5,5/5,4.7/5,2.2/5
48,2017 Renault Kwid,1.0 RXT AMT Opt [2016-2019],₹ 3.8 Lakh,Jul 2017,"57,815 km",Petrol,24.04 kmpl,Automatic,Grey,Not Available,First,Registered at,,4.4/5,4.5/5,5/5,5/5,3.6/5,4.5/5,5/5,4.6/5,2/5
49,2017 Maruti Suzuki Wagon R,VXI,₹ 4 Lakh,May 2017,"48,446 km",Petrol,20.5 kmpl,Manual,Grey,Not Available,First,Registered at,,4.2/5,4.5/5,5/5,5/5,3.6/5,4.3/5,3.2/5,4.7/5,3/5
50,2019 Hyundai Santro,Magna [2018-2020],₹ 4.95 Lakh,May 2019,"26,762 km",Petrol,FWD ,Manual,Silver,Not Available,First,Registered at,,4.3/5,4.5/5,5/5,5/5,3.6/5,4.3/5,3.2/5,4.7/5,3.7/5
51,2021 MG Hector,Sharp 1.5 Petrol CVT,₹ 19.9 Lakh,Jun 2021,"9,313 km",Petrol,13.9 kmpl,Automatic,White,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.4/5
52,2021 Maruti Suzuki S-Presso,LXi (O) CNG,₹ 5.75 Lakh,Nov 2021,"13,221 km",CNG,78 Nm @ 3500 rpm ,Manual,White,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,5/5,5/5,4.5/5,4/5
53,2019 Maruti Suzuki Swift,VXi [2014-2017],₹ 6.25 Lakh,Jan 2019,"13,544 km",Petrol,20.4 kmpl,Manual,White,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.9/5,4.3/5,5/5,4.7/5,3.6/5
54,2021 Maruti Suzuki Baleno,Delta 1.2,₹ 6.55 Lakh,Jan 2021,"12,730 km",Petrol,21.4 kmpl,Manual,Grey,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.7/5
55,2017 Maruti Suzuki Baleno,Zeta 1.2,₹ 6.3 Lakh,May 2017,"47,724 km",Petrol,21.4 kmpl,Manual,Grey,Not Available,First,Registered at,,4.5/5,4.6/5,5/5,5/5,3.6/5,4.3/5,5/5,4.3/5,2.8/5
56,2015 Hyundai Grand i10,Sportz 1.2 Kappa VTVT [2013-2016],₹ 4.15 Lakh,Jan 2015,"42,492 km",Petrol,18.9 kmpl,Manual,Grey,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3/5
57,2017 Honda Jazz,SV Diesel,₹ 6.6 Lakh,Aug 2017,"86,680 km",Diesel,27.3 kmpl,Manual,Maroon,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.1/5
58,2015 Maruti Suzuki Swift DZire,VXI,₹ 4.9 Lakh,Sep 2015,"57,405 km",Petrol,19.1 kmpl,Manual,Grey,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.2/5
59,2015 Maruti Suzuki Alto,VXi [2014-2019],₹ 2.95 Lakh,Jun 2015,"23,349 km",Petrol,24.07 kmpl,Manual,Grey,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.6/5,2.6/5
60,2019 Maruti Suzuki Ertiga,ZXI+,₹ 10.45 Lakh,Jan 2019,"47,482 km",Petrol,17.5 kmpl,Manual,White,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.5/5
61,2019 Ford Ecosport,Titanium 1.5L Ti-VCT,₹ 9.99 Lakh,Feb 2019,"42,347 km",Petrol,17 kmpl,Manual,Blue,Not Available,Second,Registered at,,4.4/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,1.8/5
62,2015 Honda City,V,₹ 7.45 Lakh,Nov 2015,"44,775 km",Petrol,FWD ,Manual,Grey,Not Available,First,Registered at,,4.5/5,4.5/5,3.2/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.8/5
63,2018 Maruti Suzuki Vitara Brezza,ZDi AGS,₹ 9.65 Lakh,Oct 2018,"49,045 km",Diesel,24.29 kmpl,Automatic,White,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.9/5
64,2015 Mahindra Scorpio,S10,₹ 11.45 Lakh,Aug 2015,"47,214 km",Diesel,15.4 kmpl,Manual,White,Not Available,Second,Registered at,,4.3/5,4.5/5,0.5/5,5/5,3.6/5,3.4/5,5/5,4.7/5,4.3/5
65,2022 Tata Harrier,XT [2019-2020],₹ 19.85 Lakh,Jan 2022,"2,447 km",Diesel,FWD ,Manual,White,Not Available,First,Registered at,,4.8/5,4.6/5,5/5,5/5,4.3/5,5/5,5/5,4.8/5,5/5
66,2021 MG Hector,Sharp 1.5 DCT Petrol [2019-2020],₹ 21.25 Lakh,Jan 2021,"9,526 km",Petrol,13.96 kmpl,Automatic,Black,Not Available,First,Registered at,,4.6/5,4.5/5,3.2/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.2/5
67,2017 Honda City,V Petrol [2017-2019],₹ 8.99 Lakh,Oct 2017,"58,423 km",Petrol,17.4 kmpl,Manual,Red,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.3/5
68,2021 Skoda Kushaq,Style 1.5L TSI MT,₹ 16 Lakh,May 2021,"8,444 km",Petrol,17.95 kmpl,Manual,White,Not Available,First,Registered at,,4.8/5,4.5/5,5/5,5/5,3.6/5,5/5,5/5,5/5,4.5/5
69,2021 Toyota Urban Cruiser,High Grade MT,₹ 9 Lakh,May 2021,"11,037 km",Petrol,17 kmpl,Manual,Brown,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,5/5,5/5,4.9/5,4.2/5
70,2016 Maruti Suzuki Vitara Brezza,VDi,₹ 6.7 Lakh,Nov 2016,"41,508 km",Diesel,24.29 kmpl,Manual,Grey,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.7/5
71,2018 Hyundai Xcent,SX 1.2,₹ 5 Lakh,Mar 2018,"4,382 km",Petrol,19.1 kmpl,Manual,Grey,Not Available,First,Registered at,,4.8/5,4.5/5,5/5,5/5,3.6/5,5/5,5/5,5/5,4.5/5
72,2016 Mahindra XUV500,W10,₹ 13.95 Lakh,Sep 2016,"28,976 km",Diesel,16 kmpl,Manual,Orange,Not Available,First,Registered at,,4.6/5,4.5/5,3.2/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4/5
73,2018 Jeep Compass,Limited (O) 1.4 Petrol AT [2017-2020],₹ 13 Lakh,Jan 2018,"23,446 km",Petrol,FWD ,Automatic,White,Not Available,Second,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,5/5,5/5,5/5,4/5
74,2018 Hyundai Creta,SX 1.6 AT Petrol,₹ 14.45 Lakh,Jun 2018,"28,047 km",Petrol,15.29 kmpl,Automatic,Silver,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.2/5
75,2020 Ford Ecosport,Titanium + 1.5L TDCi,₹ 10.99 Lakh,Nov 2020,"25,163 km",Diesel,23 kmpl,Manual,Brown,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.7/5
76,2019 Kia Seltos,HTK 1.5 [2020-2021],₹ 12.95 Lakh,Jun 2019,"57,760 km",Petrol,16.5 kmpl,Manual,White,Not Available,First,Registered at,,4.5/5,4.5/5,3.2/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.4/5
77,2019 Kia Seltos,HTX Plus 1.5 Diesel [2020-2021],₹ 14.95 Lakh,Sep 2019,"77,335 km",Diesel,21 kmpl,Manual,White,Not Available,First,Registered at,,4.6/5,4.5/5,3.2/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.8/5
78,2017 Renault Duster,RXS CVT,₹ 9.75 Lakh,Dec 2017,"52,517 km",Petrol,13.6 kmpl,Automatic,Grey,Not Available,Second,Registered at,,4.6/5,4.5/5,3.2/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.2/5
79,2020 MG Hector,Sharp 1.5 DCT Petrol [2019-2020],₹ 20.75 Lakh,Oct 2020,"7,016 km",Petrol,13.96 kmpl,Automatic,Black,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.5/5
80,2019 MG Hector,Sharp 1.5 DCT Petrol [2019-2020],₹ 19.25 Lakh,Jun 2019,"23,491 km",Petrol,13.96 kmpl,Automatic,Silver,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.4/5
81,2019 Mahindra XUV500,W11 AT,₹ 19.45 Lakh,Feb 2019,"32,855 km",Diesel,15.1 kmpl,Automatic,Silver,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.5/5
82,2017 Honda City,VX Petrol [2017-2019],₹ 8.99 Lakh,Oct 2017,"73,976 km",Petrol,17.4 kmpl,Manual,Grey,Not Available,First,Registered at,,4.4/5,4.5/5,3.2/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.6/5
