,Make,Price,model,usage_km,fuel,transmission,color,fuel_economy,no_of_owner,registration,car_type,condition,condition_engine,condition_suspension,condition_brake,condition_transmission,condition_electrical,condition_ac,condition_exterior,condition_interior,condition_tyres
0,Toyota Yaris,₹ 9.8 Lakh,Jun 2020,"7,000 km",Petrol,Manual,White,Not Available,First,Not Available,5 Person,"Immaculate Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available, Service History Available, Test Drive Available & Warranty Available",,,,,,,,,
1,Mercedes-Benz C-Class,₹ 12.5 Lakh,Jun 2014,"70,000 km",Diesel,Automatic,Brown,Not Available,Third,Not Available,5 Person,"Immaculate Condition, Original Paint, Non Accidental, Certified Car, Alloy Wheels, Finance Available, Roadside Assistance Available, Service History Available & Test Drive Available",,,,,,,,,
2,Chevrolet Camaro,₹ 1.19 Crore,Jun 2018,"11,000 km",Petrol,Automatic,Black,Not Available,Second,Not Available,,,,,,,,,,,
3,BMW 3-Series,₹ 40.5 Lakh,Jul 2018,"5,200 km",Petrol,Automatic,White,Not Available,First,Not Available,5 Person,"Immaculate Condition, Non Accidental, Single Owner & Less Driven",,,,,,,,,
4,Hyundai Elite i20,₹ 6.25 Lakh,Jun 2016,"43,650 km",Petrol,Manual,Red,Not Available,First,Not Available,5 Person,,,,,,,,,,
5,BMW 3-Series,₹ 47 Lakh,Jun 2021,"8,000 km",Diesel,Automatic,Orange,Not Available,First,Not Available,5 Person,"Well Maintained, Service Record Available, Finance Available, Test Drive Available, First owner, Less driven, Original Paint",,,,,,,,,
6,Mercedes-Benz GLE,₹ 45 Lakh,Jun 2015,"54,933 km",Diesel,Automatic,White,Not Available,First,Not Available,5 Person,"Excellent Condition, Certified Car, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Rear view Camera, Service History Available, Test Drive Available & Finance Available",,,,,,,,,
7,Maruti Suzuki Wagon R,₹ 3.4 Lakh,Jun 2014,"57,000 km",CNG,Manual,Silver,Not Available,First,Not Available,5 Person,"Very Good Condition, Less Driven, Non Accidental, Single Owner, Finance Available & Test Drive Available",,,,,,,,,
8,Maruti Suzuki Ciaz,₹ 7.25 Lakh,Jan 2015,"28,994 km",Petrol,Automatic,Brown,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.5/5"
9,Maruti Suzuki Celerio,₹ 5.4 Lakh,May 2016,"46,083 km",Petrol,Automatic,Red,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.7/5"
10,Hyundai Grand i10,₹ 4.75 Lakh,Jul 2015,"41,390 km",Petrol,Manual,Red,Not Available,First,Borivali,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.1/5"
11,Maruti Suzuki XL6,₹ 11.99 Lakh,Dec 2020,"24,585 km",Petrol,Manual,Blue,Not Available,First,vasai,6 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.6/5"
12,Honda WR-V,₹ 7.5 Lakh,Jun 2018,"22,647 km",Petrol,Manual,White,Not Available,First,Mumbai,5 Person,,,,,,,,,,
13,Honda Jazz,₹ 5.35 Lakh,Jun 2015,"41,179 km",Petrol,Manual,Maroon,Not Available,First,panvel,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.4/5"
